Pris,Area,Avgift,Rum
4375000,38,1795,2
4600000,58,3208,2
7600000,82,4271,3
2880000,40,2201,1
5850000,61,2382,2
2750000,24,1906,1
2900000,35.1,2172,2
4025000,48,3321,2
18200000,145,4586,5
2750000,33,1544,1
4619000,43,2007,2
16625000,136,4996,5
2750000,25,1519,1
5095000,69,3346,2
1.2e+07,113,2476,4
1.3e+07,110,1692,4
3670000,46,2948,2
5450000,79,3599,3
6550000,75,3910,3
5550000,79,5214,3
8200000,77,2893,3
2850000,40,2661,2
15500000,166,3993,5
2440000,23,1034,1
3775000,51,1885,2
2755000,37,2053,1
3050000,38,2112,2
9100000,97,4658,4
5750000,66,4500,3
4800000,55,1606,2
6530000,90,5980,4
3500000,36,1753,1
4250000,42,2275,2
3495000,54,2339,2
6300000,82.5,4574,4
2650000,31,1242,1
11750000,123,4819,4
5550000,58,3339,2
4025000,47,3017,2
2630000,32,2251,2
3800000,39,2177,2
10800000,109,3979,3
4400000,47,2548,2
2950000,28,1631,1
9050000,111.1,6098,4
9800000,111,5549,4
5420000,70.8,1339,3
7050000,54,413,2
4800000,76,3680,3
7500000,72,2881,3
2248000,23,1603,1
4300000,51,2578,2
4430000,43,2551,2
3150000,30,1995,1
6820000,82,2351,2
4420000,49,2411,1
4950000,71,4235,3
5750000,58,4508,3
5100000,63,3884,2
4e+06,53,3552,2
8550000,73,1610,3
4400000,51,3071,2
6600000,101,3882,4
5500000,57,2488,2
10400000,120.5,6326,4
3500000,40,1859,2
2250000,18,935,1
9300000,91,3094,3
9800000,94,3337,3
4600000,40,2327,2
3100000,37,2157,2
3650000,37,2325,1
2350000,22,1944,1
7350000,77,3660,3
3550000,43,2300,2
8625000,85,2017,4
3295000,53,4188,2
4050000,48,3321,2
5350000,67,3643,3
5200000,65,2782,3
3050000,34,1812,1
8900000,99,4575,3
3e+06,30,1880,1
5150000,76,2432,3
4275000,46,1905,2
3e+06,36,1705,1
4750000,60,4348,3
2150000,18,1344,1
6665000,78.5,4203,3
3500000,44,2237,2
6380000,73,3818,3
3800000,44,2809,2
4200000,56,3122,2
8100000,93,2651,3
4750000,55,2874,3
5e+06,60,2900,2
3920000,46.5,3615,2
2800000,37,1841,1
6450000,88,4215,4
5500000,87,4678,3
8e+06,75,3380,3
6500000,57,1653,2
3510000,44,2515,1
5030000,61,2906,2
7200000,68,2510,3
3275000,42,1802,2
7995000,100.7,3577,3
2900000,45,2167,1
2450000,31,2288,2
6100000,72,4390,3
5295000,62,3218,2
3700000,63.5,4438,2
6875000,68,3423,2
8800000,97,4442,4
4500000,54,2299,2
5e+06,83,4778,2
7500000,81,4725,4
4900000,65,3439,2
6250000,66,682,3
3730000,40,2058,1
3200000,44,2493,2
2800000,26,1199,1
3150000,30,1256,1
3780000,36,1336,2
8640000,81,2732,3
5e+06,76,3680,3
3875000,41,1540,1
6950000,92.5,3406,4
6700000,88,4098,4
4190000,53.5,3473,2
2600000,25,1242,1
3775000,39,1741,2
3530000,43,2495,2
4020000,40,2545,2
3200000,39,2721,2
4600000,58,1593,2
3800000,43,1806,1
5300000,60,3177,2
2800000,20,1017,1
3860000,49,2673,2
12600000,122,1443,4
5750000,65,2760,2
3550000,41,2272,2
3500000,33,1907,2
4800000,71,3106,3
11425000,143,6090,4
2550000,27,1661,1
11750000,89,3378,4
4495000,50,1619,2
2100000,23,1888,1
6250000,45,1740,2
3725000,34,1238,1
8900000,123,4853,5
2925000,28,1113,1
7900000,83,3002,3
2470000,21,1619,1
2500000,24,1727,1
5e+06,57,3792,2
2800000,44,2146,1
3100000,40.5,2123,1
2535000,24.5,1325,1
2450000,28,2150,1
3800000,42,2239,2
2510000,34,1418,1
2630000,26,1790,1
8650000,93,4361,4
4450000,42,2235,2
8750000,85,2738,3
3e+06,37,2337,2
4575000,52,2729,2
2990000,31,1323,1
3600000,40,1391,2
5700000,61,3077,2
3850000,44,2417,2
4150000,47,2324,2
6260000,84,4118,3
3370000,32,1124,1
4350000,56.5,2447,2
8550000,88,2790,3
3510000,40,2613,2
3870000,49,3039,2
3460000,42,2210,2
2700000,22,325,1
4050000,50,3361,2
3495000,41,1414,2
10500000,79,3949,3
5015000,62,3011,2
3950000,45,2017,2
7300000,88,4214,3
3500000,40,2241,1
6810000,72,3097,3
